name,category,phyAtk,magAtk,fireAtk,ligtAtk,holyAtk,critAtk,sorAtk,incAtk,phyGuard,magGuard,fireGuard,ligtGuard,holyGuard,boostGuard,strScale,dexScale,intScale,faiScale,arcScale,strReq,dexReq,intReq,faiReq,arcReq,damageTypes,weaponSkill,fpCost,weight,passive,poison,hemorrhage,frostbite,scarletRot,sleep,madness,deathBlight,upgradeType,url
"Dueling Shield","Thrusting Shield","125","0","0","0","0","100","0","0","88","44","39","55","53","58","D","D","-","-","-","15","14","-","-","-","Standard/Pierce","Shield Strike","0","9.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Dueling+Shield"
"Carian Thrusting Shield","Thrusting Shield","122","36","0","0","0","100","0","0","94","64","36","34","35","64","D","D","D","-","-","17","13","15","-","-","Standard/Pierce","Shield Strike","0","10.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Carian+Thrusting+Shield"
"Dryleaf Arts","Hand-to-Hand Art","86","0","0","0","0","100","0","0","35","20","20","20","20","20","D","D","-","-","-","8","8","-","-","-","Strike","Palm Blast","14","1.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Dryleaf+Arts"
"Dane's Footwork","Hand-to-Hand Art","86","0","0","0","0","100","0","0","35","20","20","20","20","20","D","D","-","-","-","8","8","-","-","-","Strike","Palm Blast","14","1.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Dane's+Footwork"
"Smithscript Dagger","Throwing Blade","67","0","0","0","0","100","0","0","35","20","20","20","20","15","E","C","E","E","-","5","11","11","11","-","Pierce","Piercing Throw","6","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Smithscript+Dagger"
"Backhand Blade","Backhand Blade","105","0","0","0","0","100","0","0","40","30","30","30","30","15","D","D","-","-","-","10","13","-","-","-","Slash/Pierce","Blind Spot","9","2","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Backhand+Blade"
"Smithscript Cirque","Backhand Blade","100","0","0","0","0","100","0","0","40","30","30","30","30","25","D","D","E","E","-","9","14","11","11","-","Slash","Blind Spot","9","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Smithscript+Cirque"
"Curseblade's Cirque","Backhand Blade","108","0","0","0","0","100","0","0","55","39","39","39","39","45","E","C","-","-","-","9","22","-","-","-","Slash","Deadly Dance","15","4.5","-","-","45","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Curseblade's+Cirque"
"Firespark Perfume Bottle","Perfume Bottle","0","0","110","0","0","100","0","0","21","29","65","26","23","15","-","C","-","-","-","3","14","-","-","-","Standard","Kick","0","1.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Firespark+Perfume+Bottle"
"Chilling Perfume Bottle","Perfume Bottle","0","105","0","0","0","100","0","0","20","65","31","25","32","15","-","D","D","-","-","3","13","13","-","-","Standard","Kick","0","1.0","-","-","-","60","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Chilling+Perfume+Bottle"
"Frenzyflame Perfume Bottle","Perfume Bottle","0","0","105","0","0","100","0","0","23","30","60","32","29","15","E","D","E","E","-","3","10","12","12","-","Standard","Kick","0","1.0","-","-","-","-","-","-","60","-","Regular","https://eldenring.wiki.fextralife.com/Frenzyflame+Perfume+Bottle"
"Lightning Perfume Bottle","Perfume Bottle","0","0","0","110","0","100","0","0","21","28","25","65","28","15","-","D","-","D","-","3","16","-","14","-","Standard","Kick","0","1.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Lightning+Perfume+Bottle"
"Deadly Poison Perfume Bottle","Perfume Bottle","92","0","0","0","0","100","0","0","30","35","35","35","35","15","-","D","-","-","D","3","13","-","-","18","Standard","Deadly Poison Spray","21","1.0","-","66","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Deadly+Poison+Perfume+Bottle"
"Red Bear's Claw","Beast Claw","104","0","0","0","0","100","0","0","38","22","22","22","22","22","C","E","-","-","-","20","10","-","-","-","Slash","Red Bear Hunt","8","4.0","-","-","45","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Red+Bear's+Claw"
"Milady","Light Greatsword","116","0","0","0","0","100","0","0","63","31","31","31","31","36","D","D","-","-","-","12","17","-","-","-","Standard/Pierce","Impaling Thrust","9","6.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Milady"
"Leda's Sword","Light Greatsword","101","0","0","0","65","100","0","0","63","32","32","30","46","35","E","C","-","D","-","11","22","-","19","-","Standard/Pierce","Needle Piercer","19","7.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Leda's+Sword"
"Rellana's Twin Blades","Light Greatsword","103","66","66","0","0","100","0","0","66","47","29","47","26","35","D","D","D","D","-","13","16","16","16","-","Standard/Pierce","Moon-and-Fire Stance","10","8.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Rellana's+Twin+Blades"
